Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
7.11,13.67,5.56,27,0.595,1.22,9214,3106,2750,1280,6876,1
7.0,9.0,3.0,3,0.778,2.33,25633,8706,8852,3617,22151,2
5.29,9.86,3.29,21,0.536,1.61,18971,7825,7886,2930,19124,1
5.0,10.5,2.5,6,0.476,2.0,22708,12096,11478,5469,23732,1
6.25,9.5,2.75,24,0.6579999999999999,2.27,25291,9842,10115,4621,20482,2
5.27,9.82,3.45,33,0.537,1.53,13516,3964,3766,1426,10647,2
4.43,8.71,3.79,42,0.508,1.17,18012,5659,4660,2269,12930,1
5.0,10.0,2.0,6,0.5,2.5,17677,4991,3907,2009,15395,2
7.0,12.5,3.0,12,0.56,2.33,36617,10433,9238,4287,28702,2
2.89,5.67,2.11,27,0.51,1.37,21134,6843,6354,2745,18887,1
5.83,10.23,5.16,210,0.57,1.13,31101,6676,6133,3069,32749,3
6.09,10.0,2.36,33,0.609,2.58,19778,6859,6210,3302,18005,2
7.5,15.1,4.9,30,0.497,1.53,16920,6508,5740,3791,12284,1
7.57,11.86,3.43,21,0.639,2.21,16498,5372,4932,2737,13899,2
5.0,8.78,2.33,27,0.57,2.14,2350,945,920,512,1995,1
6.0,10.21,4.64,42,0.5870000000000001,1.29,1503,691,777,358,1932,2
3.27,7.09,3.36,33,0.462,0.97,1322,435,485,265,1134,1
4.7,9.14,4.32,111,0.515,1.09,25649,5536,4234,2018,19935,2
4.31,8.06,2.62,48,0.535,1.64,10101,3537,3101,1981,7626,3
5.44,9.76,3.06,150,0.557,1.78,28521,6918,5796,2855,22447,3
3.55,6.27,4.64,33,0.565,0.76,45168,14309,15156,6939,37961,3
4.08,7.58,3.58,36,0.5379999999999999,1.14,4042,1964,1710,928,5571,1
4.23,8.04,3.38,78,0.526,1.25,14115,4980,4610,2276,12430,1
5.0,6.0,2.5,6,0.833,2.0,14758,4029,3686,2067,13397,1
7.0,11.5,4.5,6,0.609,1.56,22633,9061,10325,4665,32280,3
4.4,7.4,4.8,15,0.595,0.92,5912,2015,1772,813,4897,2
9.25,17.5,8.5,12,0.529,1.09,11186,3859,4174,1456,13527,2
4.61,9.29,3.03,93,0.497,1.52,10619,3283,2585,1817,6018,3
4.89,10.44,3.33,27,0.4679999999999999,1.47,6202,2577,2628,1272,6698,2
4.04,7.66,3.26,405,0.528,1.24,25815,9251,11924,4697,30925,3
13.33,24.33,6.33,18,0.5479999999999999,2.11,5100,2292,2347,1063,3874,1
3.54,5.78,1.51,228,0.613,2.34,18573,5557,3854,2200,13048,1
5.8,11.2,4.6,15,0.518,1.26,23380,11478,12412,4527,23262,1
6.0,15.0,3.33,9,0.455,1.0,11632,3924,3869,2419,8314,2
13.0,22.0,4.0,9,0.591,3.25,34398,9989,9338,4871,24323,2
6.39,13.16,4.19,93,0.485,1.52,59255,16309,14164,5152,49072,2
